date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-09-01,1598.99,1513.23,1554.16,483838.85,752412872.72,1585.98,direct,
2022-09-02,1649.27,1546.9,1585.98,513335.77,822062063.91,1575.91,direct,
2022-09-03,1582.39,1534.93,1575.91,204598.22,318389181.65,1557.54,direct,
2022-09-04,1582.8,1540.9,1557.54,160890.57,251366855.06,1579.06,direct,
2022-09-05,1629.13,1557.45,1579.06,304058.96,481845237.91,1617.5,direct,
2022-09-06,1686.59,1555.91,1617.5,721351.33,1178593645.43,1558.9,direct,
2022-09-07,1656.66,1490.73,1558.9,572081.28,890171683.95,1630.0,direct,
2022-09-08,1662.69,1596.45,1630.0,563506.92,917720046.07,1635.6,direct,
2022-09-09,1744.19,1631.06,1635.6,588913.83,1004002586.51,1719.35,direct,
2022-09-10,1789.58,1707.49,1719.35,254960.92,442617943.59,1774.69,direct,
2022-09-11,1789.21,1722.54,1774.69,240612.96,424086159.35,1767.02,direct,
2022-09-12,1783.07,1693.36,1767.02,397149.42,688261837.42,1716.53,direct,
2022-09-13,1755.79,1561.88,1716.53,721373.86,1186666903.31,1574.56,direct,
2022-09-14,1648.36,1555.15,1574.56,474733.66,759203960.6,1639.6,direct,
2022-09-15,1654.2,1459.21,1639.6,826190.99,1283200244.31,1472.51,direct,
2022-09-16,1483.2,1408.46,1472.51,608687.84,881484582.21,1433.97,direct,
2022-09-17,1476.0,1409.4,1433.97,295736.98,427781777.37,1469.05,direct,
2022-09-18,1470.03,1326.3,1469.05,479255.34,664603372.25,1334.3,direct,
2022-09-19,1392.37,1281.71,1334.3,617396.44,820923081.03,1376.21,direct,
2022-09-20,1384.51,1313.06,1376.21,841078.07,1134751018.14,1323.07,direct,
2022-09-21,1399.59,1220.78,1323.07,1627469.27,2158795290.82,1246.29,direct,
2022-09-22,1342.74,1237.45,1246.29,1372333.24,1764192693.49,1326.15,direct,
2022-09-23,1358.83,1262.97,1326.15,1353509.71,1770416488.71,1326.95,direct,
2022-09-24,1349.09,1306.83,1326.95,518264.02,688754375.79,1317.11,direct,
