date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-01-01,132.94,128.84,129.02,1565121.77,204356870.2,130.57,multiply,BTC
2020-01-02,127.54,125.45,130.57,2263943.03,287644676.75,127.05,multiply,BTC
2020-01-03,135.64,130.57,127.05,3363513.32,451528498.69,134.24,multiply,BTC
2020-01-04,136.56,133.47,134.24,1890626.05,253723528.41,134.2,multiply,BTC
2020-01-05,136.53,133.58,134.2,2230689.76,302251466.14,135.5,multiply,BTC
2020-01-06,146.48,142.37,135.5,2938882.86,423649231.45,144.15,multiply,BTC
2020-01-07,151.7,142.89,144.15,3570197.83,510138083.37,142.89,multiply,BTC
2020-01-08,141.11,136.12,142.89,4119909.22,578716722.57,140.47,multiply,BTC
2020-01-09,140.17,135.24,140.47,2574992.16,354683815.63,137.74,multiply,BTC
2020-01-10,148.0,143.0,137.74,3139152.22,454563935.2,144.8,multiply,BTC
2020-01-11,144.84,140.51,144.8,2603639.59,371061707.86,142.52,multiply,BTC
2020-01-12,146.69,144.16,142.52,1984784.04,290506599.97,146.37,multiply,BTC
2020-01-13,146.65,142.43,146.37,2021721.35,290088936.06,143.49,multiply,BTC
2020-01-14,169.63,152.69,143.49,6955259.26,1152190450.5,165.66,multiply,BTC
2020-01-15,171.33,162.34,165.66,5196037.72,862754656.84,166.04,multiply,BTC
2020-01-16,166.89,160.62,166.04,3214484.72,527507989.45,164.1,multiply,BTC
2020-01-17,174.34,166.24,164.1,4516472.6,767710921.71,169.98,multiply,BTC
2020-01-18,179.52,166.69,169.98,4982054.44,866424830.99,173.91,multiply,BTC
2020-01-19,171.09,164.3,173.91,3968902.88,662472107.99,166.92,multiply,BTC
2020-01-20,168.97,162.92,166.92,2168408.26,361336568.0,166.64,multiply,BTC
2020-01-21,171.09,166.56,166.64,2189523.43,370220822.27,169.09,multiply,BTC
2020-01-22,170.22,165.28,169.09,1795345.1,301566807.31,167.97,multiply,BTC
2020-01-23,164.02,160.41,167.97,2377112.52,386312306.91,162.51,multiply,BTC
2020-01-24,163.75,158.77,162.51,2324168.65,377435884.53,162.4,multiply,BTC
2020-01-25,161.58,158.4,162.4,1384665.6,222457869.05,160.66,multiply,BTC
2020-01-26,168.18,164.74,160.66,1743010.32,292233443.69,167.66,multiply,BTC
2020-01-27,173.89,169.52,167.66,2452800.32,416247047.32,169.7,multiply,BTC
2020-01-28,180.98,175.63,169.7,3238454.78,569377601.02,175.82,multiply,BTC
2020-01-29,177.09,173.28,175.82,2293380.33,397823150.89,173.47,multiply,BTC
2020-01-30,186.7,175.97,173.47,3066710.35,565568199.28,184.42,multiply,BTC
2020-01-31,182.64,177.5,184.42,2714562.26,487674049.61,179.65,multiply,BTC
2020-02-01,186.09,179.81,179.65,2166242.99,397838510.97,183.65,multiply,BTC
2020-02-02,190.7,181.27,183.65,3851746.39,725534844.29,188.37,multiply,BTC
2020-02-03,190.7,186.8,188.37,2889055.05,547997589.0,189.68,multiply,BTC
2020-02-04,188.76,184.63,189.68,2718810.77,512203474.25,188.39,multiply,BTC
2020-02-05,205.78,196.65,188.39,3955322.74,806325046.18,203.86,multiply,BTC
2020-02-06,214.34,205.65,203.86,4349177.44,925819964.93,212.87,multiply,BTC
2020-02-07,223.83,213.82,212.87,3223801.5,719675881.29,223.24,multiply,BTC
2020-02-08,228.75,218.65,223.24,3202425.6,714799127.35,223.21,multiply,BTC
2020-02-09,232.11,226.52,223.21,2208722.68,505028036.14,228.65,multiply,BTC
2020-02-10,224.76,217.76,228.65,2665253.24,594846674.44,223.19,multiply,BTC
2020-02-11,239.59,229.62,223.19,3970106.08,943842318.04,237.74,multiply,BTC
2020-02-12,276.91,239.45,237.74,6162261.7,1638802974.73,265.94,multiply,BTC
2020-02-13,273.74,258.19,265.94,5252002.2,1410279798.58,268.52,multiply,BTC
2020-02-14,286.88,266.78,268.52,4264466.83,1218082692.61,285.64,multiply,BTC
2020-02-15,275.67,263.48,285.64,4640538.98,1228225789.25,264.67,multiply,BTC
2020-02-16,270.87,244.66,264.67,4751288.67,1235093246.39,259.95,multiply,BTC
2020-02-17,268.27,241.79,259.95,5155249.75,1379015768.38,267.5,multiply,BTC
2020-02-18,290.0,274.93,267.5,5131089.38,1452489694.04,283.08,multiply,BTC
2020-02-19,270.88,256.96,283.08,3119006.38,807153589.68,258.79,multiply,BTC
2020-02-20,263.19,249.64,258.79,3750954.18,966650959.83,257.71,multiply,BTC
2020-02-21,266.98,257.48,257.71,3434048.33,912166977.09,265.62,multiply,BTC
2020-02-22,265.77,259.49,265.62,1742726.37,456762597.05,262.1,multiply,BTC
2020-02-23,275.58,269.39,262.1,2618558.08,721610483.07,275.58,multiply,BTC
2020-02-24,268.57,261.9,275.58,1777330.6,472525409.3,265.86,multiply,BTC
2020-02-25,257.03,246.6,265.86,3217338.12,793992744.73,246.79,multiply,BTC
2020-02-26,234.61,218.43,246.79,5096383.71,1141439327.42,223.97,multiply,BTC
2020-02-27,234.92,217.36,223.97,4720134.84,1074277672.87,227.59,multiply,BTC
2020-02-28,229.75,220.69,227.59,4201511.4,956885208.27,227.75,multiply,BTC
2020-02-29,227.14,217.91,227.75,5265472.33,1147393678.32,217.91,multiply,BTC
2020-03-01,222.71,214.93,217.91,4074524.49,889328823.45,218.27,multiply,BTC
